transformer_id,install_year,rated_kva,cooling_type,zone
TXR-0122,2009,1000,ONAN,Zone 2
TXR-0123,2001,1000,OFAF,Zone 1
TXR-0124,2000,100,ONAN,Zone 3
TXR-0125,2012,1000,ONAN,Zone 2
TXR-0126,1998,1000,ONAF,Zone 2
TXR-0127,2006,100,ONAN,Zone 1
TXR-0128,2009,500,ONAN,Zone 2
TXR-0129,2013,1000,ONAF,Zone 2
TXR-0130,2008,250,OFAF,Zone 2
TXR-0131,2019,500,ONAN,Zone 2
TXR-0132,2015,100,ONAF,Zone 1
TXR-0133,2014,250,ONAF,Zone 3
TXR-0134,2015,1000,ONAF,Zone 1
TXR-0135,2012,500,OFAF,Zone 2
TXR-0136,2006,1000,ONAF,Zone 3
TXR-0137,2011,250,ONAN,Zone 3
TXR-0138,2000,500,,Zone 3
TXR-0139,2020,1000,OFAF,Zone 3
TXR-0140,2000,500,ONAF,Zone 2
TXR-0141,2013,1000,ONAF,Zone 2
TXR-0142,2011,1000,ONAN,Zone 1
TXR-0143,2016,1000,ONAN,Zone 2
TXR-0144,2021,1000,OFAF,Zone 2
TXR-0145,2011,100,ONAN,Zone 2
TXR-0146,2005,100,ONAF,Zone 3
TXR-0147,2017,1000,ONAN,Zone 1
TXR-0148,2004,100,ONAF,Zone 1
TXR-0149,2012,250,OFAF,Zone 2
TXR-0150,2002,500,OFAF,Zone 2
TXR-0151,2004,250,ONAN,Zone 1
TXR-0152,2015,250,OFAF,Zone 2
TXR-0153,2015,250,ONAF,Zone 1
TXR-0154,2011,1000,ONAN,Zone 2
TXR-0155,2015,1000,ONAF,Zone 1
TXR-0156,2019,500,ONAF,Zone 2
TXR-0157,2007,100,OFAF,Zone 1
TXR-0158,2015,1000,,Zone 2
TXR-0159,2004,500,OFAF,Zone 1
TXR-0160,2006,250,ONAN,Zone 3
TXR-0161,2019,250,ONAF,Zone 2
TXR-0162,2015,250,ONAF,Zone 2
TXR-0163,2018,250,ONAN,Zone 1
TXR-0164,2016,500,ONAN,Zone 1
TXR-0165,2015,1000,ONAF,Zone 3
TXR-0166,2005,500,OFAF,Zone 1
TXR-0167,2014,250,ONAF,Zone 1
TXR-0168,1999,250,ONAN,Zone 2
TXR-0169,2004,1000,ONAN,Zone 3
TXR-0170,2013,250,ONAF,Zone 3
TXR-0171,2007,500,ONAF,Zone 2
TXR-0172,2002,500,OFAF,Zone 2
TXR-0173,2019,100,ONAF,Zone 1
TXR-0174,2021,250,ONAN,Zone 1
TXR-0175,2009,250,ONAN,Zone 1
TXR-0176,2008,250,ONAN,Zone 1
TXR-0177,2004,500,ONAN,Zone 3
TXR-0178,2004,100,ONAF,Zone 2
TXR-0179,2016,250,ONAN,Zone 2
TXR-0180,2008,500,OFAF,Zone 2
TXR-0181,2021,250,ONAF,Zone 2
TXR-0182,1998,500,ONAN,Zone 3
TXR-0183,2018,1000,OFAF,Zone 3
TXR-0184,2004,500,OFAF,Zone 1
TXR-0185,2011,500,ONAN,Zone 2
TXR-0186,2016,1000,ONAN,Zone 3
TXR-0187,1999,500,ONAF,Zone 1
TXR-0188,2017,100,ONAF,Zone 1
TXR-0189,2007,250,,Zone 3
TXR-0190,2011,100,ONAF,Zone 2
TXR-0191,2019,250,OFAF,Zone 1
TXR-0192,2010,100,ONAF,Zone 3
TXR-0193,2001,100,ONAN,Zone 1
TXR-0194,2017,1000,ONAF,Zone 1
TXR-0195,2013,250,OFAF,Zone 1
TXR-0196,2003,1000,OFAF,Zone 3
TXR-0197,2021,250,OFAF,Zone 3
TXR-0198,2008,250,ONAF,Zone 1
TXR-0199,2004,250,OFAF,Zone 3
TXR-0200,2020,500,ONAN,Zone 2
TXR-0201,2011,100,ONAN,Zone 3
TXR-0202,2016,1000,ONAN,Zone 2
TXR-0203,2009,100,OFAF,Zone 1
TXR-0204,2021,250,ONAF,Zone 1
TXR-0205,2009,100,ONAN,Zone 2
TXR-0206,2020,500,ONAF,Zone 1
TXR-0207,2009,250,OFAF,Zone 3
TXR-0208,2008,100,OFAF,Zone 1
TXR-0209,2005,500,OFAF,Zone 3
TXR-0210,2010,100,OFAF,Zone 3
TXR-0211,2022,100,ONAF,Zone 1
TXR-0212,2018,250,OFAF,Zone 3
TXR-0213,2011,100,ONAN,Zone 2
TXR-0214,2009,250,ONAF,Zone 2
TXR-0215,2005,250,ONAN,Zone 1
TXR-0216,2010,100,OFAF,Zone 2
TXR-0217,2021,100,OFAF,Zone 1
TXR-0218,2008,500,ONAF,Zone 3
TXR-0219,2015,1000,ONAN,Zone 3
TXR-0220,2007,250,ONAF,Zone 2
TXR-0221,1998,1000,ONAF,Zone 2
TXR-0222,2019,100,OFAF,Zone 1
TXR-0223,2001,100,OFAF,Zone 2
TXR-0224,2020,100,ONAF,Zone 3
TXR-0225,1999,100,ONAN,Zone 3
TXR-0226,2007,100,ONAN,Zone 3
TXR-0227,2014,100,ONAN,Zone 1
TXR-0228,2015,250,ONAN,Zone 1
TXR-0229,2013,500,OFAF,Zone 2
TXR-0230,2002,100,ONAF,Zone 2
TXR-0231,2012,500,OFAF,Zone 3
TXR-0232,2010,500,ONAF,Zone 3
